method,backbone_id,seed_left,seed_right,seed_pair_identity_pct,seed_pair_diversity_pct
base,1813,42,44,67.6659528907923,32.33404710920771
base,1813,43,44,70.2355460385439,29.764453961456105
base,1830,42,43,69.5852534562212,30.414746543778804
base,1830,42,44,71.08294930875576,28.91705069124424
base,1830,43,44,72.35023041474655,27.64976958525346
base,1844,42,43,75.38461538461539,24.615384615384617
base,1844,42,44,75.07692307692308,24.923076923076927
base,1844,43,44,73.84615384615385,26.15384615384615
base,1882,42,43,55.81395348837209,44.18604651162791
base,1882,42,44,51.162790697674424,48.837209302325576
base,1882,43,44,55.81395348837209,44.18604651162791
base,1905,42,43,71.42857142857143,28.57142857142857
base,1905,42,44,65.25096525096525,34.74903474903475
base,1905,43,44,73.35907335907336,26.640926640926644
base,1908,42,43,65.95744680851064,34.04255319148937
base,1908,42,44,68.51063829787233,31.48936170212766
base,1908,43,44,72.76595744680851,27.234042553191486
base,1909,42,43,63.28358208955224,36.71641791044776
base,1909,42,44,64.77611940298507,35.223880597014926
base,1909,43,44,68.35820895522387,31.641791044776124
base,1911,42,43,49.73821989528796,50.26178010471204
base,1911,42,44,42.93193717277487,57.06806282722513
base,1911,43,44,82.19895287958116,17.801047120418843
base,1942,42,43,67.57679180887372,32.423208191126285
base,1942,42,44,69.96587030716724,30.034129692832767
base,1942,43,44,62.79863481228669,37.20136518771331
base,1949,42,43,76.9927536231884,23.007246376811597
base,1949,42,44,75.18115942028986,24.818840579710145
base,1949,43,44,78.26086956521739,21.739130434782606
base,1951,42,43,60.0,40.0
base,1951,42,44,58.24175824175825,41.75824175824175
base,1951,43,44,70.32967032967034,29.670329670329664
base,1957,42,43,73.38709677419355,26.61290322580645
base,1957,42,44,65.86021505376344,34.13978494623656
base,1957,43,44,71.23655913978494,28.76344086021505
base,1968,42,43,62.903225806451616,37.096774193548384
base,1968,42,44,68.14516129032258,31.854838709677423
base,1968,43,44,77.82258064516128,22.17741935483871
base,1994,42,43,67.0391061452514,32.960893854748605
base,1994,42,44,71.50837988826815,28.49162011173184
base,1994,43,44,63.687150837988824,36.312849162011176
base,2004,42,43,67.36842105263158,32.631578947368425
base,2004,42,44,69.47368421052632,30.526315789473678
base,2004,43,44,73.94736842105263,26.05263157894737
base,2008,42,43,61.79966044142614,38.20033955857386
base,2008,42,44,63.83701188455009,36.16298811544991
base,2008,43,44,66.723259762309,33.276740237691
base,2012,42,43,21.686746987951807,78.3132530120482
base,2012,42,44,20.481927710843372,79.51807228915662
base,2012,43,44,61.44578313253012,38.55421686746988
base,2019,42,43,70.53824362606233,29.461756373937675
base,2019,42,44,70.82152974504248,29.17847025495751
base,2019,43,44,69.12181303116147,30.878186968838527
base,2054,42,43,66.63385826771653,33.36614173228346
base,2054,42,44,62.79527559055118,37.20472440944882
base,2054,43,44,65.35433070866141,34.645669291338585
base,2056,42,43,60.063897763578275,39.936102236421725
base,2056,42,44,61.980830670926515,38.019169329073485
base,2056,43,44,62.61980830670927,37.38019169329073
base,2075,42,43,62.829736211031175,37.170263788968825
base,2075,42,44,61.87050359712231,38.12949640287769
base,2075,43,44,69.06474820143885,30.935251798561147
base,2086,42,43,73.35164835164835,26.648351648351653
base,2086,42,44,68.13186813186813,31.868131868131865
base,2086,43,44,71.97802197802197,28.021978021978022
base,2087,42,43,59.55056179775281,40.44943820224719
base,2087,42,44,52.80898876404494,47.19101123595506
base,2087,43,44,57.30337078651685,42.69662921348315
base,2112,42,43,64.81751824817519,35.18248175182481
base,2112,42,44,67.00729927007299,32.992700729927
base,2112,43,44,66.27737226277372,33.722627737226276
base,2123,42,43,39.53488372093023,60.46511627906976
base,2123,42,44,46.51162790697674,53.48837209302326
base,2123,43,44,50.0,50.0
base,2133,42,43,72.27722772277228,27.722772277227726
base,2133,42,44,70.95709570957096,29.04290429042904
base,2133,43,44,75.24752475247524,24.752475247524753
base,2146,42,43,77.34877734877735,22.651222651222646
base,2146,42,44,76.57657657657657,23.42342342342343
base,2146,43,44,79.02187902187903,20.978120978120973
base,2153,42,43,72.80898876404494,27.191011235955052
base,2153,42,44,69.66292134831461,30.33707865168539
base,2153,43,44,76.17977528089888,23.820224719101123
base,2162,42,43,75.6923076923077,24.307692307692307
base,2162,42,44,76.92307692307693,23.076923076923073
base,2162,43,44,82.76923076923077,17.230769230769226
base,2189,42,43,49.14772727272727,50.85227272727273
base,2189,42,44,58.38068181818182,41.61931818181818
base,2189,43,44,60.08522727272727,39.91477272727273
base,2243,42,43,68.64406779661016,31.355932203389834
base,2243,42,44,71.1864406779661,28.8135593220339
